BndEquGlat BndEquMlat BndEquMlon BndGlon BndPolGlat BndPolMlat BndPolMlon date minTecGlat minTecMlat minTecMlon minTecVal
58.0 55.9007026498 -106.872507338 -168.0 66.0 64.159270019 -110.777800659 "2011-02-05 02:57:30" 62.0 60.0274807353 -108.568335679 6.5
57.0 55.1520346217 -104.891757399 -166.0 63.0 61.3252117106 -107.503386856 "2011-02-05 02:57:30" 60.0 58.2324610595 -106.080455845 6.55
50.0 48.2448447373 -101.870792896 -165.0 62.0 60.43136325 -106.208587191 "2011-02-05 02:57:30" 59.0 57.3447505884 -104.858362914 6.5
52.0 50.5364950094 -100.757081319 -163.0 63.0 61.7414896946 -105.137354211 "2011-02-05 02:57:30" 58.0 56.612187894 -102.832823491 6.4
43.0 46.8943280581 -72.2723887641 -135.0 52.0 55.7080176272 -75.2569121175 "2011-02-05 02:57:30" 47.0 50.7872270547 -73.5233579023 3.6
42.0 46.1267891926 -70.9746017488 -134.0 52.0 55.9104494581 -74.2486934451 "2011-02-05 02:57:30" 45.0 49.0356457119 -71.883266464 3.7
42.0 53.2108032945 -14.1449616789 -87.0 51.0 61.798284975 -14.1801427501 "2011-02-05 02:57:30" 48.0 58.9384998662 -14.1369359168 2.9
43.0 54.1661941162 -12.7144718382 -86.0 52.0 62.7479848671 -12.7003770092 "2011-02-05 02:57:30" 48.0 58.9389371054 -12.6732221834 2.9
51.0 61.7885200044 -11.1965012361 -85.0 56.0 66.5121561156 -11.2457660808 "2011-02-05 02:57:30" 54.0 64.6311476952 -11.2143031334 1.65
51.0 61.7693378123 -9.70694358408 -84.0 57.0 67.4306350691 -9.7086168614 "2011-02-05 02:57:30" 54.0 64.6128772491 -9.69290065639 1.65
49.0 59.834786228 -8.26336401561 -83.0 57.0 67.4051904327 -8.15281294052 "2011-02-05 02:57:30" 54.0 64.5855953913 -8.17479365076 1.35
55.0 54.3390994803 70.2487170867 -12.0 65.0 65.3161428422 75.3247391699 "2011-02-05 02:57:30" 58.0 57.7633218273 71.4708136748 1.2
45.0 55.2895161904 -31.0352535317 -99.0 52.0 62.0518345667 -31.9253194561 "2011-02-05 02:57:30" 48.0 58.1959817306 -31.3777381533 2.5
45.0 55.4031370502 -29.6687233876 -98.0 51.0 61.1959225719 -30.3522833541 "2011-02-05 02:57:30" 48.0 58.3050894648 -29.9830573922 2.3
38.0 48.7603252989 -27.7657721354 -97.0 51.0 61.293199691 -28.917722973 "2011-02-05 02:57:30" 48.0 58.4065726641 -28.578249047 2.3
51.0 61.5985754206 -3.78808173909 -80.0 57.0 67.2784074745 -3.51824685702 "2011-02-05 02:57:30" 54.0 64.450506336 -3.65092485557 3.3
45.0 55.7145583328 -1.26283521027 -78.0 55.0 65.265587471 -0.603982688491 "2011-02-05 02:57:30" 50.0 60.5020193418 -0.930824287761 2.2
45.0 55.4167948854 2.92925355786 -75.0 52.0 62.1428956756 3.54154271656 "2011-02-05 02:57:30" 49.0 59.2613242637 3.27429482103 2.1
44.0 54.3394335373 4.21842318002 -74.0 52.0 62.0366734239 4.96794686881 "2011-02-05 02:57:30" 49.0 59.1498950294 4.67812480033 2.2
44.0 54.0749232805 6.9401929468 -72.0 51.0 60.8363457697 7.67131411314 "2011-02-05 02:57:30" 48.0 57.9358358554 7.34703045321 2.05
45.0 54.7435883505 9.72834511668 -70.0 58.0 67.3108037096 11.4538520021 "2011-02-05 02:57:30" 49.0 58.6258045194 10.1797500883 3.0
39.0 48.4343360015 13.0026070637 -67.0 54.0 63.0445702835 14.9135684377 "2011-02-05 02:57:30" 47.0 56.1989974189 13.9162856218 2.6
43.0 51.7101034392 17.2631797995 -64.0 53.0 61.5835661496 18.6871063289 "2011-02-05 02:57:30" 48.0 56.6439876665 17.9032565192 2.5
39.0 46.8430123428 21.7211282949 -60.0 55.0 62.8614873942 24.1428980726 "2011-02-05 02:57:30" 49.0 56.8584652745 23.0103891001 2.15
46.0 53.621636426 23.7653213946 -59.0 55.0 62.6804770982 25.3738782302 "2011-02-05 02:57:30" 49.0 56.6529540168 24.2155081165 2.2
45.0 52.3806948549 24.8128207878 -58.0 62.0 69.4007730648 28.7338305331 "2011-02-05 02:57:30" 49.0 56.4432270914 25.4062119921 2.2
47.0 53.9597615653 27.4245196371 -56.0 56.0 63.1261468926 29.2283292514 "2011-02-05 02:57:30" 53.0 60.0947702063 28.5110178992 2.8
48.0 54.7600424957 28.7255949973 -55.0 57.0 63.944607521 30.6816847981 "2011-02-05 02:57:30" 53.0 59.8938950437 29.6710677674 2.25
47.0 53.49102438 29.698511728 -54.0 57.0 63.7581968875 31.846185495 "2011-02-05 02:57:30" 53.0 59.690595035 30.816411783 2.3
51.0 57.4190715816 31.5201595513 -53.0 58.0 64.5798351497 33.3069001666 "2011-02-05 02:57:30" 53.0 59.4851228604 31.9472265222 2.25
45.0 55.7948072946 -2.67519499857 -79.0 56.0 66.2790124403 -2.04491694148 "2011-02-05 02:57:30" 50.0 60.5776808165 -2.3795108629 2.25
45.0 54.5844853519 11.0553811119 -69.0 57.0 66.2269651382 12.6885703243 "2011-02-05 02:57:30" 48.0 57.5024270258 11.4026099929 2.7
45.0 54.4177699092 12.3705445608 -68.0 57.0 66.0921873329 14.0791937779 "2011-02-05 02:57:30" 48.0 57.3436624161 12.7293904784 2.5
53.0 50.4478961996 86.786928914 9.0 64.0 62.4020341069 91.5062020021 "2011-02-05 02:57:30" 56.0 53.8326353657 87.8101231698 0.2
53.0 50.4127286202 87.632054292 10.0 65.0 63.3712546009 92.9061636749 "2011-02-05 02:57:30" 56.0 53.7865540092 88.6462630788 0.2
54.0 51.5124915601 88.797939249 11.0 65.0 63.3085048268 93.7090913323 "2011-02-05 02:57:30" 56.0 53.7430061668 89.4849695826 1.45
44.0 54.2115487994 5.58422726047 -73.0 51.0 60.9596712495 6.27632649294 "2011-02-05 02:57:30" 49.0 59.0303733783 6.07110781709 2.1
55.0 54.1886567603 -98.3771279523 -159.0 63.0 62.3333536176 -101.926849707 "2011-02-05 02:57:30" 59.0 58.2510219442 -99.9617238703 6.5
55.0 54.3533133528 -97.5302733802 -158.0 63.0 62.4875642022 -101.112768427 "2011-02-05 02:57:30" 59.0 58.4113910797 -99.1309150333 6.6
42.0 49.7968848302 -50.621522003 -115.0 48.0 55.7057526107 -52.0577851137 "2011-02-05 02:57:30" 44.0 51.7643696038 -51.0780496035 2.3
41.0 49.1814597864 -48.0862269983 -113.0 48.0 56.0701332358 -49.6475305077 "2011-02-05 02:57:30" 44.0 52.1310670357 -48.7235511986 2.3
43.0 54.1260628379 -16.973766678 -89.0 49.0 59.8632419301 -17.0906375679 "2011-02-05 02:57:30" 47.0 57.951460555 -17.0365381044 2.9
42.0 53.1965609925 -15.5569024695 -88.0 50.0 60.8367588591 -15.6437110845 "2011-02-05 02:57:30" 47.0 57.9723759897 -15.5842116923 2.7
