dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-57.0 305.83 54.0 8.88 62.72 6.9 58.74 4.3 19.4 -4.6
-5.0 280.66 57.34 9.4 65.68 7.9 61.68 5.07 19.5 -4.5
-95.0 311.17 51.37 11.22 60.57 8.37 55.99 5.01 19.5 -4.5
-18.0 280.28 57.41 9.26 65.86 7.56 62.16 5.56 19.5 -4.5
-36.0 299.06 55.93 8.36 64.66 7.03 60.48 4.68 19.5 -4.5
-57.0 303.62 53.89 8.73 62.6 6.78 58.6 4.26 19.5 -4.5
-5.0 279.95 57.52 9.5 65.69 7.89 61.91 5.14 19.6 -4.4
-95.0 311.16 51.31 10.79 60.42 8.02 55.87 4.83 19.6 -4.4
-18.0 281.19 57.38 9.27 65.78 7.6 62.08 5.55 19.6 -4.4
-36.0 299.46 55.75 8.32 64.45 6.98 60.3 4.63 19.6 -4.4
-57.0 303.58 53.77 8.64 62.4 6.58 58.34 4.17 19.6 -4.4
-5.0 282.1 57.2 9.57 65.53 7.92 61.59 5.14 19.7 -4.3
-95.0 312.34 51.36 10.74 60.53 7.94 56.01 4.81 19.7 -4.3
-18.0 282.73 57.29 9.45 65.7 7.69 61.99 5.61 19.7 -4.3
-36.0 299.41 55.6 8.27 64.36 7.08 60.16 4.61 19.7 -4.3
-57.0 306.54 53.76 8.66 62.44 6.81 58.39 4.27 19.7 -4.3
-5.0 281.62 57.88 9.71 66.16 7.91 62.28 5.17 19.8 -4.2
-95.0 307.56 51.33 10.88 60.5 8.23 55.76 4.9 19.8 -4.2
-18.0 283.17 57.04 9.34 65.64 7.63 61.84 5.48 19.8 -4.2
-36.0 300.95 55.58 8.14 64.13 6.91 60.01 4.47 19.8 -4.2
-57.0 304.73 53.54 8.57 62.35 6.72 58.24 4.16 19.8 -4.2
-5.0 282.16 57.38 9.5 65.89 7.78 61.91 5.01 19.9 -4.1
-95.0 308.79 50.82 11.15 60.3 8.33 55.44 4.93 19.9 -4.1
-18.0 284.56 56.84 9.2 65.38 7.72 61.51 5.4 19.9 -4.1
-36.0 301.28 55.29 8.15 63.98 6.85 59.8 4.48 19.9 -4.1
-57.0 302.89 53.41 8.43 62.5 6.76 58.12 4.13 19.9 -4.1
-5.0 283.49 57.29 9.59 65.94 7.92 61.74 4.9 20.0 -4.0
-95.0 311.88 50.57 11.03 60.02 8.24 55.26 4.69 20.0 -4.0
-18.0 284.75 56.81 9.2 65.37 7.78 61.46 5.48 20.0 -4.0
-36.0 301.91 55.15 8.08 63.8 6.85 59.57 4.38 20.0 -4.0
-57.0 302.32 53.54 8.49 62.36 6.68 58.27 4.09 20.0 -4.0
-5.0 283.89 57.08 9.52 65.55 7.68 61.51 4.98 20.1 -3.9
-95.0 312.1 50.81 11.07 60.3 8.49 55.35 4.73 20.1 -3.9
-18.0 285.73 56.82 9.24 65.37 7.81 61.51 5.46 20.1 -3.9
-36.0 302.69 55.08 7.99 63.8 6.82 59.56 4.4 20.1 -3.9
-57.0 305.42 53.46 8.57 62.36 6.75 58.22 4.09 20.1 -3.9
-5.0 285.07 56.85 9.34 65.11 7.82 61.23 4.81 20.2 -3.8
-95.0 306.93 50.77 11.1 60.15 8.25 55.3 4.84 20.2 -3.8
-18.0 285.8 56.64 9.07 65.13 7.75 61.22 5.39 20.2 -3.8
-36.0 303.72 54.94 7.89 63.67 6.83 59.37 4.37 20.2 -3.8
-57.0 304.19 53.39 8.25 62.2 6.6 58.06 4.09 20.2 -3.8
-5.0 285.44 56.66 9.35 65.21 7.6 61.23 4.84 20.3 -3.7
-95.0 307.27 50.79 11.03 60.46 8.4 55.39 4.88 20.3 -3.7
-18.0 286.56 56.46 8.89 64.97 7.66 60.99 5.3 20.3 -3.7
-36.0 302.1 54.92 7.81 63.58 6.85 59.32 4.35 20.3 -3.7
-57.0 299.84 53.31 8.24 62.12 6.54 58.03 4.1 20.3 -3.7
-5.0 285.22 56.62 9.17 64.96 7.64 61.11 4.73 20.4 -3.6
-95.0 299.83 50.62 11.03 60.0 7.98 55.26 4.77 20.4 -3.6
-18.0 286.75 56.27 8.91 64.76 7.75 60.8 5.35 20.4 -3.6
-36.0 301.81 54.82 7.74 63.49 6.8 59.21 4.26 20.4 -3.6
-57.0 302.27 53.57 8.07 62.29 6.53 58.17 4.01 20.4 -3.6
-5.0 287.62 56.21 8.73 64.48 7.51 60.59 4.69 20.5 -3.5
-95.0 295.67 50.77 11.28 59.9 8.12 55.36 4.92 20.5 -3.5
-18.0 289.19 56.18 8.78 64.62 7.7 60.64 5.31 20.5 -3.5
-36.0 301.94 54.75 7.58 63.37 6.8 59.05 4.28 20.5 -3.5
-57.0 305.02 53.43 8.25 62.22 6.79 58.08 4.19 20.5 -3.5
-5.0 287.98 56.12 8.62 64.6 7.58 60.45 4.76 20.6 -3.4
-95.0 290.02 50.48 11.53 59.88 8.34 55.13 4.97 20.6 -3.4
-18.0 289.96 55.91 8.64 64.41 7.64 60.41 5.2 20.6 -3.4
-36.0 302.83 54.55 7.59 63.3 6.84 58.95 4.3 20.6 -3.4
-57.0 304.66 53.29 8.16 62.05 6.76 57.88 4.06 20.6 -3.4
-5.0 289.17 55.96 8.37 64.25 7.49 60.23 4.61 20.7 -3.3
-95.0 285.2 50.42 11.61 59.78 8.27 55.01 4.94 20.7 -3.3
-18.0 291.53 55.7 8.56 64.32 7.68 60.18 5.15 20.7 -3.3
-36.0 301.26 54.43 7.52 63.23 6.83 58.83 4.28 20.7 -3.3
-57.0 299.07 52.93 8.34 62.03 6.76 57.73 4.09 20.7 -3.3
-5.0 289.21 56.09 8.1 64.54 7.37 60.33 4.45 20.8 -3.2
-95.0 285.36 50.43 11.41 59.91 8.26 55.03 4.93 20.8 -3.2
-18.0 292.09 55.66 8.37 64.22 7.57 60.13 5.11 20.8 -3.2
-36.0 300.64 54.31 7.39 63.02 6.83 58.64 4.23 20.8 -3.2
-57.0 299.03 53.08 8.24 62.17 6.78 57.82 4.1 20.8 -3.2
-5.0 291.53 55.87 7.97 64.37 7.14 60.1 4.55 20.9 -3.1
-95.0 281.88 50.46 11.56 59.93 8.5 55.1 4.99 20.9 -3.1
-18.0 293.58 55.57 8.29 64.11 7.57 60.0 5.05 20.9 -3.1
-36.0 299.65 54.12 7.34 62.93 6.8 58.52 4.25 20.9 -3.1
-57.0 302.7 53.18 8.35 62.03 6.84 57.85 4.28 20.9 -3.1
-5.0 291.93 55.66 7.8 64.24 7.21 59.9 4.56 21.0 -3.0
-95.0 280.57 50.35 11.51 59.74 8.36 54.98 4.97 21.0 -3.0
-18.0 294.28 55.28 8.04 63.99 7.46 59.74 4.94 21.0 -3.0
-36.0 301.37 54.05 7.32 62.91 6.77 58.48 4.2 21.0 -3.0
-57.0 298.58 53.19 8.19 62.24 6.75 57.86 4.16 21.0 -3.0
-5.0 292.71 55.55 7.83 64.26 7.22 59.86 4.58 21.1 -2.9
-95.0 276.17 50.39 11.38 59.67 8.63 54.88 5.08 21.1 -2.9
-18.0 295.27 55.23 7.96 63.91 7.47 59.67 4.93 21.1 -2.9
-36.0 299.51 53.86 7.29 62.73 6.73 58.33 4.19 21.1 -2.9
-57.0 295.52 53.03 8.27 62.22 6.85 57.84 4.26 21.1 -2.9
-5.0 292.09 55.52 7.75 64.17 7.28 59.84 4.52 21.2 -2.8
-95.0 274.61 50.32 11.65 59.63 8.26 54.96 5.05 21.2 -2.8
-18.0 295.44 55.14 7.86 63.87 7.44 59.55 4.84 21.2 -2.8
-36.0 296.51 53.75 7.24 62.63 6.77 58.19 4.17 21.2 -2.8
-57.0 289.83 53.06 8.3 62.23 6.78 57.95 4.26 21.2 -2.8
-5.0 293.4 55.28 7.6 63.78 7.38 59.43 4.57 21.3 -2.7
-95.0 267.13 50.35 11.55 59.57 8.38 54.93 5.11 21.3 -2.7
-18.0 296.96 54.94 7.78 63.72 7.52 59.33 4.85 21.3 -2.7
-36.0 294.97 53.68 7.16 62.68 6.74 58.13 4.11 21.3 -2.7
-57.0 291.08 52.96 8.67 62.35 7.07 57.82 4.49 21.3 -2.7
-5.0 290.35 55.43 7.55 64.0 7.32 59.72 4.52 21.4 -2.6
-95.0 257.85 50.35 11.47 59.58 8.69 54.93 5.27 21.4 -2.6
-18.0 296.97 54.75 7.64 63.58 7.42 59.13 4.79 21.4 -2.6
-36.0 293.84 53.58 7.21 62.52 6.75 58.08 4.11 21.4 -2.6
